,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,1,0,0,0,2,5,8,10,13,22,9,14,14,7,1,1,,,,,,,,,,
2,,,1,0,0,0,2,3,1,1,4,8,7,7,2,15,9,8,13,7,5,3,1,2,4,1,0,2,0,1,,,
3,,,,2,0,1,1,2,3,5,3,4,9,8,8,9,8,6,7,4,7,2,5,2,2,2,2,3,0,0,1,1,
4,,,,2,0,2,1,5,4,6,8,6,6,2,5,8,9,3,3,7,4,3,3,6,4,2,2,2,0,1,2,0,1
5,,,1,1,2,3,5,3,6,5,1,6,4,5,4,4,5,10,7,5,3,4,3,2,1,4,5,3,1,0,2,0,2
6,1,1,2,1,2,2,3,6,2,10,7,2,4,4,7,4,9,4,2,1,4,6,7,0,4,0,3,3,2,0,1,0,3
7,3,2,1,0,0,1,5,5,7,5,2,4,3,5,12,5,5,5,4,5,1,1,3,1,2,5,1,2,7,1,1,0,3
8,5,0,1,1,2,3,4,4,2,10,3,4,3,4,5,8,6,6,3,2,2,5,3,1,3,1,0,0,3,2,3,3,5
9,5,1,2,5,3,2,1,3,5,3,7,7,5,3,4,2,5,4,2,1,4,4,3,3,1,3,3,2,3,1,1,3,6
10,7,2,4,3,5,0,3,1,4,2,3,2,4,5,3,4,3,6,7,4,5,2,1,5,1,2,2,1,2,2,2,2,8
11,11,1,1,3,6,3,5,2,1,2,1,3,2,2,3,5,4,2,3,5,3,4,5,5,2,2,0,2,2,2,2,3,10
12,12,1,0,4,6,2,2,4,2,2,1,3,0,6,3,5,1,4,4,2,4,5,3,2,4,3,0,1,2,1,0,1,17
13,12,4,3,3,4,0,3,3,2,4,1,3,3,0,2,1,7,5,4,3,4,2,1,2,1,2,2,2,2,1,2,1,18
14,15,6,1,5,2,0,3,1,2,2,4,1,3,3,3,1,6,3,5,2,2,0,0,1,2,2,3,2,1,2,3,0,21
15,18,4,4,2,3,3,0,0,1,1,5,2,5,3,1,4,4,1,1,0,2,2,0,1,2,1,6,0,2,2,1,3,23
16,23,0,2,4,1,3,2,1,1,2,1,2,2,7,1,2,2,3,3,2,2,0,1,0,2,0,2,0,4,3,1,3,25
17,26,0,1,4,1,2,4,1,4,1,0,0,3,3,3,2,3,1,2,2,2,0,2,2,1,2,1,2,1,2,2,1,26
18,27,3,1,3,1,4,2,0,0,3,1,1,1,4,2,3,1,3,2,0,2,2,3,0,3,1,3,0,0,1,1,1,28
19,30,2,0,3,1,2,0,5,2,3,1,1,1,5,2,0,0,2,0,2,2,3,2,1,2,2,1,0,0,0,0,4,28
